zeta,omegs,df,cc
1,1,1,14.922
1,1,2,15.047
1,1,3,14.703
1,1,4,11.313
1,1,5,5.375
1,1,6,5.5
1,1,7,5.5
1,1,8,5.6406
1,1,9,5.625
1,2,1,14.594
1,2,2,15.234
1,2,3,14.859
1,2,4,10.578
1,2,5,5.4688
1,2,6,5.9063
1,2,7,5.8594
1,2,8,5.3594
1,2,9,5.6719
1,3,1,15.141
1,3,2,14.688
1,3,3,14.766
1,3,4,10.906
1,3,5,5.4063
1,3,6,5.375
1,3,7,5.9844
1,3,8,5.2813
1,3,9,5.7344
1,4,1,15.188
1,4,2,14.938
1,4,3,15.125
1,4,4,11.047
1,4,5,5.7969
1,4,6,5.5156
1,4,7,5.1719
1,4,8,5.5938
1,4,9,5.3906
1,5,1,14.391
1,5,2,14.859
1,5,3,14.875
1,5,4,12.281
1,5,5,5.8125
1,5,6,6
1,5,7,5.6406
1,5,8,5.75
1,5,9,5.7188
1,6,1,15.563
1,6,2,15.578
1,6,3,16.328
1,6,4,12.531
1,6,5,7.6094
1,6,6,6.8594
1,6,7,6.5
1,6,8,6.7656
1,6,9,6.5
1,7,1,14.563
1,7,2,14.891
1,7,3,15.469
1,7,4,11.594
1,7,5,5.4531
1,7,6,5.6563
1,7,7,5.8125
1,7,8,5.9531
1,7,9,5.5938
1,8,1,14.844
1,8,2,14.547
1,8,3,14.766
1,8,4,11.094
1,8,5,6.1406
1,8,6,5.5938
1,8,7,5.6875
1,8,8,5.2813
1,8,9,5.625
1,9,1,14.484
1,9,2,15.078
1,9,3,14.922
1,9,4,11.609
1,9,5,5.9219
1,9,6,5.3594
1,9,7,5.6719
1,9,8,5.8438
1,9,9,5.8125
2,1,1,15.172
2,1,2,15.328
2,1,3,15.25
2,1,4,11.391
2,1,5,5.5938
2,1,6,5.7344
2,1,7,6
2,1,8,5.7031
2,1,9,5.3906
2,2,1,14.813
2,2,2,14.625
2,2,3,15.141
2,2,4,11.078
2,2,5,5.7344
2,2,6,5.5781
2,2,7,5.4844
2,2,8,5.5469
2,2,9,5.5938
2,3,1,15.234
2,3,2,15.172
2,3,3,15.281
2,3,4,12.047
2,3,5,5.4063
2,3,6,5.5469
2,3,7,5.5469
2,3,8,5.625
2,3,9,5.4844
2,4,1,15.109
2,4,2,15.484
2,4,3,15.156
2,4,4,10.984
2,4,5,5.9531
2,4,6,6.1094
2,4,7,5.4844
2,4,8,5.8438
2,4,9,5.9063
2,5,1,14.781
2,5,2,15.406
2,5,3,14.703
2,5,4,10.547
2,5,5,5.8125
2,5,6,6.1563
2,5,7,6.2188
2,5,8,5.9219
2,5,9,5.7031
2,6,1,16.016
2,6,2,15.875
2,6,3,16.656
2,6,4,11.797
2,6,5,6.6563
2,6,6,6.4531
2,6,7,6.6406
2,6,8,6.3281
2,6,9,6.5938
2,7,1,15.344
2,7,2,14.594
2,7,3,14.828
2,7,4,11.344
2,7,5,5.9688
2,7,6,5.4688
2,7,7,5.5
2,7,8,5.6406
2,7,9,5.2344
2,8,1,15.078
2,8,2,14.672
2,8,3,15.438
2,8,4,11.719
2,8,5,5.875
2,8,6,5.2813
2,8,7,5.3438
2,8,8,5.3594
2,8,9,5.6563
2,9,1,15.063
2,9,2,15.172
2,9,3,14.797
2,9,4,11.781
2,9,5,5.75
2,9,6,5.8438
2,9,7,5.3906
2,9,8,5.2344
2,9,9,5.4219
3,1,1,15.531
3,1,2,15.547
3,1,3,15.047
3,1,4,11.594
3,1,5,6.0156
3,1,6,5.625
3,1,7,5.625
3,1,8,5.8594
3,1,9,5.9219
3,2,1,15.016
3,2,2,15.359
3,2,3,14.984
3,2,4,11.328
3,2,5,5.8594
3,2,6,5.7656
3,2,7,5.9375
3,2,8,5.6563
3,2,9,5.0625
3,3,1,16.078
3,3,2,16.219
3,3,3,15.141
3,3,4,12.609
3,3,5,6.5313
3,3,6,6.8906
3,3,7,6.7969
3,3,8,6.4688
3,3,9,7.0156
3,4,1,14.984
3,4,2,15.344
3,4,3,15.063
3,4,4,11.516
3,4,5,5.3281
3,4,6,5.7188
3,4,7,5.9531
3,4,8,5.4844
3,4,9,5.8594
3,5,1,14.031
3,5,2,15.047
3,5,3,14.969
3,5,4,11.656
3,5,5,6.4531
3,5,6,5.8125
3,5,7,5.875
3,5,8,6
3,5,9,6
3,6,1,14.922
3,6,2,14.875
3,6,3,15.047
3,6,4,12.531
3,6,5,6.4063
3,6,6,6.1094
3,6,7,5.9844
3,6,8,5.75
3,6,9,6.0469
3,7,1,15.266
3,7,2,15.516
3,7,3,15.406
3,7,4,12.688
3,7,5,7.2188
3,7,6,6.7031
3,7,7,6.4063
3,7,8,6.1719
3,7,9,6.3125
3,8,1,14.859
3,8,2,15.125
3,8,3,16.266
3,8,4,14.391
3,8,5,8.2969
3,8,6,7.9375
3,8,7,8.125
3,8,8,7.9688
3,8,9,7.2188
3,9,1,15.078
3,9,2,14.766
3,9,3,16.813
3,9,4,15.906
3,9,5,10.25
3,9,6,9.5
3,9,7,9.5156
3,9,8,9.2188
3,9,9,9.3594
